GEOID,latitude,longitude
270459603004,43.7326324,-92.39729844
270459606001,43.72671011,-91.98009521
270459603002,43.68807714,-92.41668878
270459603003,43.68979234,-92.36777313
270459604004,43.63158078,-92.21202104
270459602004,43.80640386,-92.33167243
270459605001,43.54365587,-92.32355303
270459605002,43.54019352,-92.10905974
270459601002,43.78561022,-91.75036326
270459604003,43.70740731,-92.03119371
270459601001,43.80694914,-91.96540996
270459606003,43.5876343,-91.79781797
270459606002,43.72720929,-91.84779493
270459602002,43.83374209,-92.18942366
270459604001,43.64978652,-92.09645827
270459604002,43.62793913,-91.9699752
270459603001,43.63280973,-92.38726081
270459605004,43.54444034,-91.92796162
270459606004,43.5119829,-91.76021694
270799504001,44.21580615,-93.69797392
270799504003,44.2570541,-93.58907756
270799506002,44.30620865,-93.92405086
270799506001,44.26770688,-93.98330162
270799503001,44.369926,-93.60454394
270799505003,44.30727304,-93.74009005
270799502004,44.40829312,-93.91654064
270799506004,44.26539177,-93.85504997
270190906011,44.86260934,-93.53535369
271450104021,45.63156046,-94.56983689
270190906022,44.88276622,-93.54298304
270190906021,44.88520315,-93.52988374
270190906012,44.87222175,-93.54523161
270190907021,44.83406898,-93.52908789
270959703003,45.99738422,-93.56242496
270717902022,48.60087954,-93.37853126
270717902011,48.56543211,-93.44509054
270717902012,48.59906181,-93.42327425
270717902021,48.600307,-93.41413913
270717902024,48.59793297,-93.40890965
270717902023,48.59457777,-93.41557512
270959702003,46.07632732,-93.74864698
270959702002,46.19530006,-93.7159438
270959703001,45.88653267,-93.6665997
271390804002,44.79174612,-93.5121719
271390805002,44.79025606,-93.534579
271390807001,44.76999882,-93.58676723
271390809032,44.70244192,-93.49256375
271019002001,43.94049753,-95.98557458
271019002002,43.8864339,-95.65725385
271390809052,44.74730169,-93.41705433
271390812002,44.5535032,-93.57924298
271574905003,44.1316021,-92.26570441
271574906002,44.17221852,-92.16949204
271574906001,44.15772171,-92.16489761
270935602004,45.27627428,-94.44824231
270935602001,45.17799653,-94.43264446
270935602003,45.02114515,-94.43816728
270935603003,45.13745675,-94.51373552
270935605002,45.17392983,-94.58691897
270935606003,45.25318636,-94.70456728
270935605004,45.28372231,-94.57407368
270935601002,45.12467567,-94.30372441
